"REQ. TIME","DEVICE ID","IP ADDRESS","LOCATION","COUNTRY","CARRIER","APP BUNDLE","MAKE","MODEL","CONNECTION TYPE","GEO TYPE"
"2024-09-25 04:43:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-10-08 15:28:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-09-25 04:43:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:43:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-21 04:56:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-08 05:28:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.175.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-21 04:58:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-10-08 15:28:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-08-25 04:31:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.172.129","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-08 05:27:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.175.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
